object_id,full_id,osm_id,osm_type,amenity,name,operator,lon,lat
1,n365519609,365519609,node,atm,Servired,BBVA,-0.3852425,39.4711276
2,n850179255,850179255,node,atm, ,Bancaja,-0.3717228,39.4953224
3,n1673466247,1673466247,node,atm, ,La Caixa,-0.3342555,39.4688173
4,n1673467467,1673467467,node,atm, ,Bankia,-0.3322687,39.4680381
5,n1712713216,1712713216,node,atm, ,Bankia,-0.3454445,39.4568881
6,n2440025032,2440025032,node,atm, ,Bankia,-0.3569675,39.4522578
7,n2440025033,2440025033,node,atm, ,Banco Sabadell,-0.3542182,39.4536123
8,n4158521589,4158521589,node,atm, ,Banco Santander,-0.3490101,39.4593598
9,n4357254845,4357254845,node,atm, , ,-0.3807645,39.4602839
10,n4485827790,4485827790,node,atm, ,BANKIA,-0.3382325,39.4805355
11,n4744211323,4744211323,node,atm, , ,-0.3798931,39.4725051
12,n4880409583,4880409583,node,atm, , ,-0.3683653,39.4701913
13,n5257504627,5257504627,node,atm, ,Bankia,-0.3939241,39.4870071
14,n5257530021,5257530021,node,atm, ,Cajamar,-0.3917666,39.4863474
15,n5596682021,5596682021,node,atm, ,Bankinter,-0.3477101,39.4524324
16,n5747700289,5747700289,node,atm, ,Santander,-0.4038026,39.4954633
17,n5747700291,5747700291,node,atm, ,BANKIA,-0.3920687,39.4950899
18,n6448589194,6448589194,node,atm,Caixabank, ,-0.3732322,39.4704647
19,n6448589317,6448589317,node,atm,Bankia, ,-0.3693104,39.4701776
20,n6502182708,6502182708,node,atm, ,Votare,-0.3850373,39.4891968
21,n6617346021,6617346021,node,atm, ,Bankia,-0.3507024,39.4680723
22,n6771560908,6771560908,node,atm,Bankia, ,-0.3340508,39.4783756
23,n6933079724,6933079724,node,atm, ,Bankia,-0.3709757,39.4814762
24,n6935539928,6935539928,node,atm, ,Banco Santander,-0.3702893,39.4822664
25,n6935539934,6935539934,node,atm, ,Targobank,-0.3701956,39.4825356
26,n6938335430,6938335430,node,atm, ,Santander,-0.3751808,39.4768471
27,n106914635,106914635,node,bank,Banco Santander,Banco Popular,-0.3724595,39.451869
28,n106914664,106914664,node,bank,Bankia, ,-0.3739149,39.453431
29,n106914680,106914680,node,bank,Banco Santander,Banco Santander,-0.3743822,39.4530108
30,n106914688,106914688,node,bank,Caixabank, ,-0.374966,39.4530454
31,n203671810,203671810,node,bank,BBVA,BBVA,-0.3799573,39.4732001
32,n365242577,365242577,node,bank,Bankia,Bankia,-0.3857276,39.4708155
33,n431064243,431064243,node,bank,Banco Santander,Banco Santander,-0.3799646,39.4728924
34,n530289812,530289812,node,bank, ,Caja Murcia,-0.3968698,39.4857196
35,n530289977,530289977,node,bank,Liberbank, ,-0.3969784,39.4856654
36,n530289978,530289978,node,bank,Bankia, ,-0.39766,39.4854011
37,n850179220,850179220,node,bank,Banco Sabadell, ,-0.3773816,39.4712948
38,n850179246,850179246,node,bank,Bankia, ,-0.3716454,39.495414
39,n850179248,850179248,node,bank,Banco Santander, ,-0.3754761,39.4705459
40,n850179251,850179251,node,bank, , ,-0.3776093,39.4713276
41,n850179261,850179261,node,bank,Banco de Valencia,La Caixa,-0.3757503,39.4702454
42,n850179262,850179262,node,bank,BBVA, ,-0.3718504,39.4951051
43,n850179263,850179263,node,bank,Bancaja, ,-0.3788727,39.4697562
44,n850179265,850179265,node,bank,BBVA, ,-0.3782673,39.4705239
45,n850179268,850179268,node,bank,Citybank, ,-0.3771916,39.4715412
46,n1189715317,1189715317,node,bank,BBVA,BBVA,-0.3897417,39.4534639
47,n1189718230,1189718230,node,bank, ,Caixa Popular,-0.3890819,39.4525551
